book_id,authors,original_title,Urls
1545,"A.A. Milne, Ernest H. Shepard",The House at Pooh Corner,https://play.google.com/store/books/details/A_A_Milne_The_House_At_Pooh_Corner_Deluxe_Edition?id=4evQDDcGpwoC
7481,"A.A. Milne, Ernest H. Shepard",When We Were Very Young,https://play.google.com/store/books/details/A_A_Milne_When_We_Were_Very_Young_Deluxe_Edition?id=JfZjICaM8IAC
6336,Alexander McCall Smith,The Good Husband of Zebra Drive,https://play.google.com/store/books/details/Alexander_McCall_Smith_The_Good_Husband_of_Zebra_D?id=ENg5sursmbgC
7088,Alexander McCall Smith,The Miracle at Speedy Motors ,https://play.google.com/store/books/details/Alexander_McCall_Smith_The_Miracle_at_Speedy_Motor?id=nZx8V7ydzrwC
7995,Alexander McCall Smith,The Sunday Philosophy Club ,https://play.google.com/store/books/details/Alexander_McCall_Smith_The_Sunday_Philosophy_Club?id=JjePtwJH1G4C
2186,Alison Weir,The Six Wives of Henry VIII,https://play.google.com/store/books/details/Alison_Weir_The_Six_Wives_of_Henry_VIII?id=uUV3JgWK5dsC
4153,Alison Weir,The Life of Elizabeth I,https://play.google.com/store/books/details/Alison_Weir_The_Life_of_Elizabeth_I?id=LvaXtymD3cgC
2130,Amanda Hocking,Torn,https://play.google.com/store/books/details/Amanda_Hocking_Torn?id=HZBSkRgKyxIC
2417,Amanda Hocking,Ascend,https://play.google.com/store/books/details/Amanda_Hocking_Ascend?id=YntT8G8w_9cC
6964,Amanda Hocking,Wake (Watersong #1),https://play.google.com/store/books/details/Amanda_Hocking_Wake?id=--rtdXRIsq8C
848,Amy Tan,The Bonesetter's Daughter,https://play.google.com/store/books/details/Amy_Tan_The_Bonesetter_s_Daughter?id=NjMAwG_Vbz4C
1714,Amy Tan,The Kitchen God's Wife,https://play.google.com/store/books/details/Amy_Tan_The_Kitchen_God_s_Wife?id=CJsd1OU_Pf0C
3311,Amy Tan,The Hundred Secret Senses,https://play.google.com/store/books/details/Amy_Tan_The_Hundred_Secret_Senses?id=bbbcbVFms64C
