book_id,authors,original_title,url
743,Christopher Moore,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",https://play.google.com/store/books/details/Christopher_Moore_Lamb?id=WbGDfPB2ugoC
1153,Christopher Moore,A Dirty Job,https://play.google.com/store/books/details/Christopher_Moore_A_Dirty_Job?id=mxSrDdnd3GQC
2423,Christopher Moore,Fool,https://play.google.com/store/books/details/Christopher_Moore_Fool?id=u-wD0Iyuk8UC
2923,Christopher Moore,Practical Demonkeeping,https://play.google.com/store/books/details/Christopher_Moore_Practical_Demonkeeping?id=Eqn2nVgvVKoC
3254,Christopher Moore,The Stupidest Angel: A Heartwarming Tale of Christmas Terror,https://play.google.com/store/books/details/Christopher_Moore_The_Stupidest_Angel_v2_0?id=Ak0BuEenGuoC
3883,Christopher Moore,The Lust Lizard of Melancholy Cove,https://play.google.com/store/books/details/Christopher_Moore_Lust_Lizard_of_Melancholy_Cove?id=nHf6yqhlokgC
4979,Christopher Moore,Coyote Blue,https://play.google.com/store/books/details/Christopher_Moore_Coyote_Blue?id=v1qa7r4dL8gC
5412,Christopher Moore,Bite Me,https://play.google.com/store/books/details/Christopher_Moore_Bite_Me?id=6tsP_E-N1LAC
331,Jodi Picoult,The Pact,https://play.google.com/store/books/details/Jodi_Picoult_The_Pact?id=TmRmk64eP-EC
791,Jodi Picoult,House Rules,https://play.google.com/store/books/details/Jodi_Picoult_House_Rules?id=S3K3UK09ZuoC
1101,Jodi Picoult,Change of Heart,https://play.google.com/store/books/details/Jodi_Picoult_Change_of_Heart?id=KsqIKlfAHjgC
1149,Jodi Picoult,Vanishing Acts,https://play.google.com/store/books/details/Jodi_Picoult_Vanishing_Acts?id=1gokTenRmLIC
1532,Jodi Picoult,Sing You Home,https://play.google.com/store/books/details/Jodi_Picoult_Sing_You_Home?id=9z-9ufun9G4C
1685,Jodi Picoult,Salem Falls,https://play.google.com/store/books/details/Jodi_Picoult_The_Jodi_Picoult_Collection_1?id=0t0pywRquQkC
2991,Jodi Picoult,Second Glance,https://play.google.com/store/books/details/Jodi_Picoult_Second_Glance?id=IqHtes-2Hx4C
4427,Jodi Picoult,Songs of the Humpback Whale: A Novel in Five Voices,https://play.google.com/store/books/details/Jodi_Picoult_Songs_of_the_Humpback_Whale?id=fyFwfrhS-10C
8453,Jodi Picoult,Where There's Smoke,https://play.google.com/store/books/details/Jodi_Picoult_Where_There_s_Smoke_A_Short_Story?id=YyGZAwAAQBAJ
1871,John Sandford,Rules Of Prey,https://play.google.com/store/books/details/John_Sandford_Rules_of_Prey?id=0JjciUHEIfYC
5109,John Sandford,Chosen Prey,https://play.google.com/store/books/details/John_Sandford_Chosen_Prey?id=iWmt9LteO6IC
5486,John Sandford,Dark of the Moon,https://play.google.com/store/books/details/John_Sandford_Dark_of_the_Moon?id=Oo8LNQpNTioC
6561,John Sandford,Eyes of Prey,https://play.google.com/store/books/details/John_Sandford_Eyes_of_Prey?id=JoSIX3kAKIQC
7787,John Sandford,Silent Prey,https://play.google.com/store/books/details/John_Sandford_Silent_Prey?id=tBrtYonIVnwC
8624,John Sandford,Rough Country,https://play.google.com/store/books/details/John_Sandford_Rough_Country?id=I8UKIG1BbAcC
8824,John Sandford,Mind Prey,https://play.google.com/store/books/details/John_Sandford_Mind_Prey?id=AogZexUCC2EC
9468,John Sandford,Mortal Prey,https://play.google.com/store/books/details/John_Sandford_Mortal_Prey?id=8YcRpq5CDoAC
1273,Kim Harrison,Dead Witch Walking,https://play.google.com/store/books/details/Kim_Harrison_Dead_Witch_Walking?id=uCGaW2MEWAsC
2306,Kim Harrison,Every Which Way But Dead,https://play.google.com/store/books/details/Kim_Harrison_Every_Which_Way_But_Dead?id=9HQn9ntb69wC
2807,Kim Harrison,"The Good, the Bad, and the Undead",https://play.google.com/store/books/details/Kim_Harrison_The_Good_the_Bad_and_the_Undead?id=q0O7XJbjblUC
