book_id,authors,original_title,Urls,
656,Ally Carter,"I'd Tell You I Love You, But Then I'd Have to Kill You",https://play.google.com/store/books/details/Ally_Carter_I_d_Tell_You_I_Love_You_But_Then_I_d_H?id=mdMgCML4htcC,
1550,Ally Carter,Heist Society,https://play.google.com/store/books/details/Ally_Carter_Heist_Society?id=zhlOte6iNLQC,
1652,Ally Carter,Cross My Heart and Hope to Spy,https://play.google.com/store/books/details/Ally_Carter_Cross_My_Heart_and_Hope_to_Spy?id=NDIlBZp2JAgC,
2319,Ally Carter,Don't Judge a Girl by Her Cover,https://play.google.com/store/books/details/Ally_Carter_Don_t_Judge_a_Girl_by_Her_Cover?id=loO6aLAQOcAC,
2428,Ally Carter,Only the Good Spy Young,https://play.google.com/store/books/details/Ally_Carter_Only_the_Good_Spy_Young?id=P1dWWnJGbpMC,
1533,Anne Rice,The Tale of the Body Thief,https://play.google.com/store/books/details/Anne_Rice_The_Tale_of_the_Body_Thief?id=z2B-KvhMSxgC,
1993,Anne Rice,The Vampire Armand,https://play.google.com/store/books/details/Anne_Rice_The_Vampire_Armand?id=xd-W59uNekMC,
4192,Anne Rice,Blood and Gold: The Vampire Marius,https://play.google.com/store/books/details/Anne_Rice_Blood_and_Gold?id=HTsIJtpLIYYC,
6665,Anne Rice,Cry to Heaven,https://play.google.com/store/books/details/Anne_Rice_Cry_to_Heaven?id=PumwlvTHku0C,
7260,Anne Rice,The Feast of All Saints,https://play.google.com/store/audiobooks/details/Anne_Rice_The_Feast_of_All_Saints?id=AQAAAABEp0OnFM,
2413,Bernard Cornwell,The Last Kingdom,https://play.google.com/store/books/details/Bernard_Cornwell_The_Last_Kingdom?id=nBDp7VL2joQC,
4017,Bernard Cornwell,The Pale Horseman,https://play.google.com/store/books/details/Bernard_Cornwell_The_Pale_Horseman?id=x3kYuT_5UJAC,
4310,Bernard Cornwell,The Lords of the North,https://play.google.com/store/books/details/Bernard_Cornwell_Lords_of_the_North?id=UVHNoTrXQjcC,
5093,Bernard Cornwell,Sword Song,https://play.google.com/store/books/details/Bernard_Cornwell_Sword_Song?id=loDYH7XZAyMC,
7307,Bernard Cornwell,Sharpe's Tiger,https://play.google.com/store/books/details/Bernard_Cornwell_Sharpe_s_Tiger?id=YkHX2f9KrnQC,
8393,Bernard Cornwell,Enemy of God,https://play.google.com/store/books/details/Bernard_Cornwell_Enemy_of_God?id=Q0q7BgwwEWAC,
9254,Bernard Cornwell,Vagabond,https://play.google.com/store/books/details/Bernard_Cornwell_Vagabond?id=-f33XToW2SwC,
9274,Bernard Cornwell,The Pagan Lord,https://play.google.com/store/books/details/Bernard_Cornwell_The_Pagan_Lord?id=vXOxAAAAQBAJ,
374,Bill Bryson,A Short History of Nearly Everything,https://play.google.com/store/books/details/Bill_Bryson_A_Short_History_of_Nearly_Everything?id=hhnIWGD5Zt0C,
1976,Bill Bryson,I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away,https://play.google.com/store/books/details/Bill_Bryson_I_m_a_Stranger_Here_Myself?id=1wexZSh8QawC,
2279,Bill Bryson,Neither Here Nor There: Travels in Europe,https://play.google.com/store/books/details/Bill_Bryson_Neither_here_nor_there?id=8gR4BgAAQBAJ,
2321,Bill Bryson,The Lost Continent: Travels in Small-Town America,https://play.google.com/store/books/details/Bill_Bryson_The_Lost_Continent?id=JjQdCAAAQBAJ,
3893,Bill Bryson,Shakespeare: The World as Stage ,https://play.google.com/store/books/details/Bill_Bryson_Shakespeare?id=EZaTCwAAQBAJ,
4079,Bill Bryson,The Mother Tongue: English and How It Got That Way,https://play.google.com/store/books/details/Bill_Bryson_The_Mother_Tongue?id=0AV4BgAAQBAJ,
9295,Bill Bryson,Made in America: An Informal History of the English Language in the United States,https://play.google.com/store/books/details/Bill_Bryson_made_in_america?id=2Qh4BgAAQBAJ,
1106,C.S. Lewis,The Great Divorce,https://play.google.com/store/books/details/C_S_Lewis_The_Great_Divorce?id=L_D2GoC-eJIC,
2781,C.S. Lewis,A Grief Observed,https://play.google.com/store/books/details/C_S_Lewis_A_Grief_Observed?id=YrJEJG1lMVwC,
2794,C.S. Lewis,The Four Loves,https://play.google.com/store/books/details/C_S_Lewis_The_Four_Loves?id=69_-CwAAQBAJ,
2860,C.S. Lewis,Till We Have Faces,https://play.google.com/store/books/details/C_S_Lewis_Till_We_Have_Faces?id=Nbj9CwAAQBAJ,
3795,C.S. Lewis,Perelandra,https://play.google.com/store/books/details/C_S_Lewis_The_Space_Trilogy_Omnib?id=4XYpAgAAQBAJ,
6575,C.S. Lewis,The Abolition of Man,https://play.google.com/store/books/details/C_S_Lewis_The_Abolition_of_Man?id=ST87o-KSzp0C,
5526,Carl Hiaasen,Flush,https://play.google.com/store/books/details/Carl_Hiaasen_Flush?id=3ia-XWJVD7oC,
7426,Carl Hiaasen,Skin Tight,https://play.google.com/store/books/details/Carl_Hiaasen_Skin_Tight?id=qiIJKZgdyUUC,
7471,Carl Hiaasen,Tourist Season,https://play.google.com/store/books/details/Carl_Hiaasen_Tourist_Season?id=IY-BrAf-c4YC,
8349,Carl Hiaasen,Stormy Weather,https://play.google.com/store/books/details/Carl_Hiaasen_Stormy_Weather?id=rz-pK4D1CtcC,
8781,Carl Hiaasen,Strip Tease,https://play.google.com/store/books/details/Carl_Hiaasen_Strip_Tease?id=j4Pb4ed_pIYC,
8800,Carl Hiaasen,Scat,https://play.google.com/store/books/details/Carl_Hiaasen_Scat?id=a43voFUS1dIC,
5963,Erin Hunter,Moonrise,https://play.google.com/store/books/details/Erin_Hunter_Warriors_The_New_Prophecy_2_Moonrise?id=g47UZkX94GMC,
6197,Erin Hunter,Sunset,https://play.google.com/store/books/details/Erin_Hunter_Warriors_The_New_Prophecy_6_Sunset?id=slrb-5uF2ccC,
6346,Erin Hunter,Dawn,https://play.google.com/store/books/details/Erin_Hunter_Warriors_Dawn_of_the_Clans_2_Thunder_R?id=tTe24ApyW4QC,
7846,Erin Hunter,The Sight,https://play.google.com/store/books/details/Erin_Hunter_Warriors_Power_of_Three_1_The_Sight?id=qxrD6XSsobUC,
8251,Erin Hunter,"Starlight (Warriors: The New Prophecy, #4)",https://play.google.com/store/books/details/Erin_Hunter_Warriors_The_New_Prophecy_4_Starlight?id=GstjtaiNJYwC,
8354,Erin Hunter,Twilight,https://play.google.com/store/books/details/Erin_Hunter_Warriors_The_New_Prophecy_5_Twilight?id=qfvSQHHdyzIC,
2940,Francine Rivers,"An Echo in the Darkness (Mark of the Lion, #2)",https://play.google.com/store/books/details/Francine_Rivers_An_Echo_in_the_Darkness?id=JBCqNY9UGYgC,
3140,Francine Rivers,The Atonement Child,https://play.google.com/store/books/details/Francine_Rivers_The_Atonement_Child?id=CGRyXVht5RYC,
5142,Francine Rivers,"Her Mother's Hope (Marta's Legacy, #1)",https://play.google.com/store/books/details/Francine_Rivers_Her_Mother_s_Hope?id=f-lv0GeeF8EC,
8854,Francine Rivers,Mark of the Lion Trilogy,https://play.google.com/store/books/details/Francine_Rivers_Mark_of_the_Lion_Gift_Collection?id=ovXaiet2vNgC,
8917,Francine Rivers,Her Daughter's Dream,https://play.google.com/store/books/details/Francine_Rivers_Her_Daughter_s_Dream?id=6AXV76B7GTIC,
747,Garth Nix,Sabriel,https://play.google.com/store/books/details/Garth_Nix_Sabriel?id=Gcp9fCKSGLsC,
1259,Garth Nix,Abhorsen,https://play.google.com/store/books/details/Garth_Nix_Abhorsen?id=JOOK7HW99xwC,
1350,Garth Nix,Lirael,https://play.google.com/store/books/details/Garth_Nix_Lirael?id=buw34ou48ywC,
5582,Garth Nix,Drowned Wednesday,https://play.google.com/store/books/details/Garth_Nix_The_Keys_to_the_Kingdom_3_Drowned_Wednes?id=CRBtEgtExl8C,
6640,Garth Nix,Lady Friday,https://play.google.com/store/books/details/Garth_Nix_The_Keys_to_the_Kingdom_5_Lady_Friday?id=h-hlfkacx2UC,
6780,Garth Nix,Sir Thursday,https://play.google.com/store/books/details/Garth_Nix_The_Keys_to_the_Kingdom_4_Sir_Thursday?id=_9YS8n5LGMwC,
832,J.D. Robb,Naked in Death,https://play.google.com/store/books/details/J_D_Robb_Naked_in_Death?id=LNm-FlD61DgC,
6585,J.D. Robb,"Survivor in Death (In Death, #20)",https://play.google.com/store/books/details/J_D_Robb_Survivor_In_Death?id=_KCxGsj_1gMC,
6763,J.D. Robb,"Innocent in Death (In Death, #24)",https://play.google.com/store/books/details/J_D_Robb_Innocent_In_Death?id=06Zn3JSMU-IC,
7911,J.D. Robb,"Divided in Death (In Death, #18)",https://play.google.com/store/books/details/J_D_Robb_Divided_in_Death?id=_EuAtTlR8mIC,
8008,J.D. Robb,Imitation in Death,https://play.google.com/store/books/details/J_D_Robb_Imitation_In_Death?id=tp5kq50tUzwC,
8301,J.D. Robb,Delusion in Death,https://play.google.com/store/books/details/J_D_Robb_Delusion_in_Death?id=hFAyubfmfwwC,
392,Jeff Kinney,Greg Heffley's Journal,https://play.google.com/store/books/details/Jeff_Kinney_Diary_of_an_Awesome_Friendly_Kid_Rowle?id=bLR8DwAAQBAJ,
1043,Jeff Kinney,Rodrick Rules,https://play.google.com/store/books/details/Jeff_Kinney_Rodrick_Rules_Diary_of_a_Wimpy_Kid_2?id=xoJe4H1nyjkC,
1194,Jeff Kinney,Dog Days,https://play.google.com/store/books/details/Jeff_Kinney_Dog_Days_Diary_of_a_Wimpy_Kid_4?id=7IljjSwdSAsC,
